RANK,ID,CitationCount,CiteScore,SJR
6,22214,6723,11.88,12.249
2,22214,6723,11.88,12.249
3,25037,2023,11.83,3.544
2,25037,2023,11.83,3.544
2,25037,2023,11.83,3.544
8,19700182758,92807,11.8,6.399
5,19700182758,92807,11.8,6.399
5,19700182758,92807,11.8,6.399
4,14816,2955,11.77,9.696
9,14816,2955,11.77,9.696
2,21100278313,1920,11.71,5.11
4,21100278313,1920,11.71,5.11
5,26463,1062,11.67,4.59
12,26463,1062,11.67,4.59
2,19700173023,197,11.59,5.305
2,19700173023,197,11.59,5.305
2,21100778827,13937,11.58,19.544
6,21100778827,13937,11.58,19.544
10,21100778827,13937,11.58,19.544
13,21100778827,13937,11.58,19.544
2,19614,971,11.56,7.415
3,20313,5884,11.56,14.736
1,25143,25724,11.56,4.915
3,25143,25724,11.56,4.915
7,25143,25724,11.56,4.915
1,25143,25724,11.56,4.915
2,71056,1335,11.51,7.395
2,71056,1335,11.51,7.395
3,71056,1335,11.51,7.395
2,71056,1335,11.51,7.395
9,23470,5587,11.43,4.164
1,13037,638,11.39,3.321
3,13037,638,11.39,3.321
1,12402,1990,11.37,6.687
1,12402,1990,11.37,6.687
1,12402,1990,11.37,6.687
1,12402,1990,11.37,6.687
8,19584,958,11.27,5.644
2,19584,958,11.27,5.644
1,15090,1202,11.23,4.804
1,15090,1202,11.23,4.804
2,21100200203,1145,11.23,4.844
1,21100200203,1145,11.23,4.844
2,21100200203,1145,11.23,4.844
7,21100200203,1145,11.23,4.844
3,21100200203,1145,11.23,4.844
5,24769,2766,11.2,7.167
8,24769,2766,11.2,7.167
4,24769,2766,11.2,7.167
13,24769,2766,11.2,7.167
3,21195,3752,11.17,4.266
1,21195,3752,11.17,4.266
1,23038,2343,11.16,2.362
3,23038,2343,11.16,2.362
5,17978,17361,11.13,11.116
4,40944,8959,11.12,10.484
7,40944,8959,11.12,10.484
14,40944,8959,11.12,10.484
4,72242,3087,11.06,8.269
2,72242,3087,11.06,8.269
3,72242,3087,11.06,8.269
3,15461,4364,11.05,2.681
9,15870,17838,10.98,8.074
1,29488,777,10.94,7.844
1,12286,337,10.87,4.246
1,12286,337,10.87,4.246
4,12286,337,10.87,4.246
3,12286,337,10.87,4.246
9,12286,337,10.87,4.246
2,12286,337,10.87,4.246
10,22687,82635,10.8,5.8
3,22687,82635,10.8,5.8
5,14599,5393,10.76,7.634
3,21365,2769,10.73,7.452
5,21365,2769,10.73,7.452
3,17249,10653,10.66,2.827
1,17249,10653,10.66,2.827
4,17249,10653,10.66,2.827
6,14365,3878,10.65,8.96
3,21100401152,1018,10.6,6.225
2,21100401152,1018,10.6,6.225
6,4000151822,8645,10.44,12.032
1,15359,3699,10.42,7.948
1,15359,3699,10.42,7.948
1,15359,3699,10.42,7.948
6,19939,2612,10.37,7.27
2,12611,434,10.33,3.703
4,12611,434,10.33,3.703
4,12611,434,10.33,3.703
3,12611,434,10.33,3.703
4,12611,434,10.33,3.703
4,19700188320,18290,10.3,4.299
7,21100327726,576,10.29,3.868
